Soil type,Crop,Latitude,Longitude,pH,P,K,S,OC,EC,Fertilizer Name,predictions_pH,predictions_P,predictions_K,predictions_S,predictions_OC
MixedSoil,Groundnut,14.08,77.69,5.66,1.32,28,4.45,0.23,0.04,DAP,7.286216973,6.841761296,49.67423858,-2.15646254,0.378600597
RedSoil,Groundnut,14.1,77.7,6.55,3,50,1.91,0.12,0.05,17-17-17,7.372011423,5.568353138,61.49616217,-5.894584739,0.377306377
MixedSoil,Groundnut,14.1,77.69,6.34,2.31,37,5.05,0.26,0.08,Urea,7.293428095,7.791929145,73.95127267,4.646000944,0.373819581
BlackSoil,Groundnut,14.09,77.69,7.8,4.36,53,1.75,0.31,0.12,28-28,7.306166075,9.3632339,123.7246215,17.71604309,0.359956115
RedSoil,Groundnut,14.09,77.69,6.97,3.45,67,5.9,0.49,0.12,Urea,7.266272098,13.09746229,124.3980949,30.49604905,0.380727414
BlackSoil,Groundnut,14.06,77.64,7.45,3.78,95,4.57,0.3,0.13,DAP,7.394212378,10.49426521,112.0418103,16.92853211,0.385943016
SandySoil,Groundnut,14.06,77.64,7.17,1.41,71,1.06,0.17,0.03,20-20,7.39354956,7.22252626,82.71812617,0.696144011,0.370337048
MixedSoil,Groundnut,14.06,77.64,8.25,1.49,82,3.96,0.2,0.11,17-17-17,7.405037762,8.344005519,116.6328938,8.37424978,0.356932906
MixedSoil,Groundnut,14.06,77.64,8.65,1.72,62,12.31,0.15,0.11,DAP,7.387341657,7.034054438,121.5930575,4.696382037,0.343736387
RedSoil,Groundnut,14.06,77.64,6.8,1.46,66,8.72,0.15,0.07,Urea,7.393914269,6.805501881,70.39570632,-2.802678795,0.377868919
RedSoil,Groundnut,14.06,77.64,6.01,3.4,57,3.75,0.22,0.08,20-20,7.348636164,7.596944047,61.11124217,1.679913507,0.392766799
RedSoil,Groundnut,14.06,77.65,8.4,11.51,117,3.05,0.39,0.14,28-28,7.407358825,12.95516587,162.368458,37.0633778,0.404001951
MixedSoil,Groundnut,14.06,77.65,8.23,2.23,112,2.06,0.24,0.08,14-35-14,7.449215101,9.975240114,122.5976023,14.05969606,0.373564281
RedSoil,Groundnut,14.07,77.65,7.03,3.29,117,4.55,0.2,0.07,Urea,7.475872937,9.26453548,86.14342163,6.823958896,0.402773077
RedSoil,Groundnut,14.12,77.65,8.51,6.86,79,5.36,0.2,0.18,DAP,7.402500622,8.319409023,132.271542,14.20065753,0.368999481
RedSoil,Groundnut,14.13,77.66,5.31,2.98,75,4.67,0.22,0.06,20-20,7.384540758,8.072749069,41.36519222,-0.644220224,0.413458473
RedSoil,Groundnut,14.11,77.65,8.3,7.57,89,2.77,0.26,0.1,28-28,7.398994318,9.65498993,135.682983,19.92032964,0.379122953
RedSoil,Groundnut,14.11,77.65,8.15,11.18,96,3.6,0.32,0.13,DAP,7.392295184,10.97943891,145.4956955,28.39471812,0.397600263
RedSoil,Groundnut,14.12,77.65,8.2,10.72,86,28.03,0.36,0.31,Urea,7.36534502,11.94005648,153.0110846,31.30038958,0.399558895
RedSoil,Groundnut,14.13,77.65,8.57,14.39,93,7.75,1.41,0.16,14-35-14,6.97357169,31.22166184,310.9802155,131.4310564,0.400561898
RedSoil,Groundnut,14.12,77.65,9.02,8.78,117,23.96,0.56,0.44,28-28,7.348232014,16.64406461,199.4287921,52.42793838,0.391327543
RedSoil,Groundnut,14.12,77.65,7.9,19,265,8.36,0.88,0.19,Urea,7.520810805,26.6769831,227.6416616,93.47531873,0.511825271
RedSoil,Groundnut,14.11,77.65,8.71,3.61,84,14.71,0.32,0.35,14-35-14,7.368112492,10.92756392,149.5395474,23.1200697,0.360453351
RedSoil,Groundnut,14.11,77.65,7.48,7.67,117,81.35,0.36,1.59,DAP,7.443829349,13.94139998,131.6149456,27.12072869,0.438040497
RedSoil,Groundnut,14.11,77.65,5.2,16.32,103,5.03,0.16,0.09,17-17-17,7.470597601,7.824989284,51.181364,7.096578613,0.473478165
RedSoil,Groundnut,14.12,77.64,8.65,9.47,76,26.26,0.7,0.41,DAP,7.214400717,17.95376213,209.6319824,62.21652885,0.381525608
RedSoil,Groundnut,14.12,77.64,8.05,3.62,53,3.44,0.19,0.11,20-20,7.352138577,7.214702375,113.1215841,7.195826856,0.353488757
RedSoil,Groundnut,14.13,77.65,6.2,2.66,76,2.31,0.15,0.04,14-35-14,7.412249853,6.889909406,55.508076,-3.630081413,0.395427516
RedSoil,Groundnut,14.12,77.65,8.01,6.79,59,2.3,0.25,0.06,28-28,7.342525591,8.482183042,125.1354067,15.66097418,0.367228375
RedSoil,Groundnut,14.12,77.65,8.5,7.22,70,6.39,0.39,0.16,Urea,7.312641214,11.57802952,158.5462222,31.22706055,0.366413999
RedSoil,Groundnut,14.12,77.65,8.2,8.55,149,38.65,0.61,0.53,DAP,7.397788676,18.75910585,184.3198505,55.00130544,0.426877431
RedSoil,Groundnut,14.12,77.64,8.82,6.75,106,83.3,0.47,0.8,14-35-14,7.380135336,15.87757801,181.9244575,41.08364095,0.405469519
RedSoil,Groundnut,14.12,77.65,6.5,4.19,108,3.02,0.22,0.05,20-20,7.45029641,9.242684037,75.70888624,6.8801301,0.41068479
RedSoil,Groundnut,14.13,77.65,8.78,3.69,123,30.73,0.48,0.5,28-28,7.390251705,15.45888001,174.3361196,39.85330963,0.384366301
RedSoil,Groundnut,14.13,77.65,8.81,4.01,129,36.22,0.5,0.52,Urea,7.396636126,16.13828794,178.7063995,42.3701176,0.38985516
RedSoil,Groundnut,14.12,77.65,8.07,28.68,140,18.47,0.91,0.5,14-35-14,7.26945355,23.58189795,252.1982319,99.62272538,0.484114391
RedSoil,Groundnut,14.12,77.65,8.25,6.31,116,14.7,0.66,0.24,28-28,7.303517291,18.15115663,187.5970986,56.05068464,0.393461537
RedSoil,Groundnut,14.12,77.65,8,13.32,89,62.96,0.41,0.65,20-20,7.365763599,13.67854537,160.4782011,37.54662368,0.426598245
RedSoil,Groundnut,14.12,77.65,8.32,9.39,145,4.64,0.49,0.15,Urea,7.424299637,15.70104429,170.580916,45.21020556,0.412610078
RedSoil,Groundnut,14.12,77.65,8.44,3.51,37,2.25,0.17,0.07,DAP,7.327461328,6.378772339,120.8138502,6.074200274,0.337671223
RedSoil,Groundnut,14.12,77.65,8.22,4.74,82,93.97,0.53,1.32,17-17-17,7.312077547,16.38045908,171.1613902,41.06943361,0.402385169
RedSoil,Groundnut,14.12,77.65,8.35,5.15,114,40.19,0.34,0.53,28-28,7.42984781,12.72484231,146.3241417,26.36069149,0.396440646
RedSoil,Groundnut,14.12,77.64,8.19,132.06,193,181.16,0.5,1.61,Urea,7.644479119,21.14696694,371.6187127,160.4605595,0.91235354
RedSoil,Groundnut,14.12,77.65,8.15,10.31,83,5.13,0.18,0.07,20-20,7.419905729,8.014963131,125.1150357,14.30200704,0.388998829
RedSoil,Groundnut,14.12,77.65,6,3.54,43,4.03,0.08,0.08,17-17-17,7.374378116,4.573028169,41.97388274,-11.57573164,0.386746382
RedSoil,Groundnut,14.11,77.65,8.63,2.35,57,3.23,0.13,0.17,DAP,7.382224533,6.310296839,118.7829727,3.14028131,0.340338805
RedSoil,Groundnut,14.12,77.65,7.28,6.99,53,4.3,0.27,0.08,Urea,7.323757367,8.599603636,108.3358027,14.41604648,0.379327299
RedSoil,Groundnut,14.12,77.65,8.57,2.51,54,2.8,0.1,0.22,20-20,7.387642235,5.643171277,113.2764128,0.185824009,0.340371026
RedSoil,Groundnut,14.12,77.64,8.21,7.72,60,4.69,0.25,0.12,28-28,7.345853888,8.594429514,132.2051988,17.36916056,0.367984169
RedSoil,Groundnut,14.11,77.65,8.32,2.48,114,2.2,0.15,0.1,10-26-26,7.48772521,8.387394523,113.1808645,6.612978654,0.373740926
RedSoil,Groundnut,14.12,77.64,8.21,14.95,94,30.1,0.41,0.36,Urea,7.365221681,13.16094661,166.8812983,40.13330271,0.418071413
RedSoil,Groundnut,14.12,77.64,8.2,15.16,183,3.02,0.3,0.12,DAP,7.575022987,13.31349303,150.3625062,34.70434635,0.451777887
RedSoil,Groundnut,14.12,77.65,7.95,4.66,43,3.26,0.19,0.09,20-20,7.332749021,6.884493504,112.0133868,7.256371444,0.353892424
RedSoil,Groundnut,14.12,77.65,5.62,4.39,70,2.08,0.14,0.04,14-35-14,7.404996934,6.426377,40.99473433,-5.579329641,0.408969532
RedSoil,Groundnut,14.11,77.65,5.86,5.31,44,1.79,0.14,0.03,10-26-26,7.353666666,5.646282628,48.98721352,-5.042928518,0.39486195
RedSoil,Groundnut,14.12,77.65,5.55,9.05,64,3.9,0.23,0.05,20-20,7.361901462,7.934669387,58.79702639,6.25548176,0.423525825
RedSoil,Groundnut,14.12,77.65,6.18,3.13,50,2.14,0.18,0.04,28-28,7.349265925,6.629101881,59.78384932,-1.842121698,0.384708966
RedSoil,Groundnut,14.12,77.65,6.85,4.65,58,1.44,0.13,0.04,Urea,7.384856411,6.037365433,73.63153566,-1.875615239,0.38089666
RedSoil,Groundnut,14.12,77.64,8.35,8.34,68,2.45,0.22,0.09,28-28,7.372784671,8.260907516,132.7857112,16.1821017,0.370461519
RedSoil,Groundnut,14.12,77.64,8.4,11.41,206,6.35,0.44,0.15,Urea,7.566458765,16.72346271,169.2238221,45.85589024,0.44800463
RedSoil,Groundnut,14.12,77.64,8.56,11.54,122,3.7,0.46,0.14,DAP,7.390836861,14.44491599,176.3780406,44.3096123,0.403791466
RedSoil,Groundnut,14.12,77.64,8.5,3.56,67,3.31,0.22,0.14,14-35-14,7.368469485,8.27059673,129.4159368,12.35330312,0.351645307
RedSoil,Pulses,14.09,77.69,6,4.73,80,5.66,0.19,0.08,28-28,7.407241464,7.797159747,58.94807594,1.274957215,0.40922563
RedSoil,Groundnut,14.08,77.69,7.88,2.33,54,5.77,0.24,0.2,20-20,7.335147256,8.196304783,113.4005405,9.89688892,0.353736431
MixedSoil,Pulses,14.08,77.69,6.6,2.56,66,12.03,0.39,0.2,10-26-26,7.304078693,11.29080539,99.59356607,19.09840121,0.386495593
RedSoil,Groundnut,14.08,77.69,6.16,1.51,62,3.83,0.73,0.12,DAP,7.162955038,17.22063429,131.823495,46.90489346,0.386152946
RedSoil,Groundnut,14.08,77.6,8.2,2.61,50,5.46,0.35,0.23,14-35-14,7.285257348,10.14976628,137.579654,21.19243177,0.346658412
RedSoil,Groundnut,14.09,77.7,8.34,3.24,60,2.01,0.2,0.14,Urea,7.361547037,7.630493377,121.7340195,9.263479403,0.34967866
RedSoil,Groundnut,14.08,77.6,6.02,1.28,27,3.11,0.15,0.05,DAP,7.314269649,5.354226638,48.46182861,-8.023900354,0.370778132
RedSoil,Pulses,14.09,77.7,7.82,3.38,63,5.58,0.43,0.22,20-20,7.281060156,11.9818609,139.3231518,28.23720823,0.362623054
RedSoil,Pulses,14.09,77.7,8.37,2.14,44,2.06,0.16,0.14,28-28,7.344388274,6.397071337,115.369166,3.974571435,0.337742522
MixedSoil,Groundnut,14.08,77.69,8.62,2,65,3.65,0.13,0.19,14-35-14,7.398096339,6.566948832,117.9832109,3.171192463,0.343394914
RedSoil,Pulses,14.08,77.69,8.2,3.99,50,2.32,0.17,0.13,10-26-26,7.353616368,6.749299622,115.0113429,6.184518892,0.350049543
RedSoil,Groundnut,14.09,77.69,8.28,1.36,23,3.31,0.11,0.15,Urea,7.321688023,4.830585411,104.9320806,-2.653750075,0.327135473
SandySoil,Pulses,14.09,77.69,8.04,1.39,55,6.66,0.45,0.23,10-26-26,7.256791656,12.15906844,144.9982963,28.71460082,0.3484606
RedSoil,Groundnut,14.09,77.69,7.27,1.18,56,9.04,0.45,0.3,DAP,7.259490833,12.12631511,123.7533556,25.46741179,0.363475368
RedSoil,Pulses,14.09,77.7,8.22,1.73,61,4.96,0.21,0.22,14-35-14,7.359914153,7.892158337,117.6125103,8.347907177,0.34850071
RedSoil,Pulses,14.09,77.69,7.33,3.13,53,6.78,0.29,0.27,10-26-26,7.31486602,9.030596332,106.5019058,12.88525456,0.366523469
RedSoil,Pulses,14.09,77.7,8.3,9.22,68,2.02,0.25,0.17,Urea,7.361670377,8.799745357,136.871285,19.50001459,0.374150004
RedSoil,Groundnut,14.09,77.69,5.8,6.04,43,3.97,0.1,0.06,14-35-14,7.368097202,4.912236863,43.16431021,-8.280595877,0.398743427
RedSoil,Groundnut,14.09,77.69,7.28,13.05,62,3.56,0.19,0.12,28-28,7.375263707,7.382623299,106.9130097,13.18299533,0.403519907
RedSoil,Pulses,14.09,77.7,6.37,1.58,60,3.23,0.13,0.1,10-26-26,7.387771329,6.066388646,55.78141234,-6.528165572,0.3812827
RedSoil,Groundnut,14.09,77.69,6.3,1.38,69,2.54,0.14,0.09,Urea,7.401514568,6.506598076,54.87724402,-5.648383747,0.386016543
RedSoil,Pulses,14.08,77.69,8.54,2.02,49,3.62,0.06,0.15,DAP,7.392972805,4.759870305,106.2754621,-4.246070187,0.337192869
RedSoil,Groundnut,14.08,77.69,8.77,3.48,80,5.72,0.18,0.24,20-20,7.410392315,8.026731633,131.3543705,10.38922846,0.353562733
RedSoil,Groundnut,14.08,77.69,8.48,1.66,29,1.89,0.33,0.18,,7.249345475,9.090668871,140.8049765,18.61180395,0.326776795
RedSoil,Pulses,14.08,77.69,8.44,10.47,84,12.71,0.19,0.22,Urea,7.420793599,8.437112523,135.0988915,16.570778,0.387490691
RedSoil,Pulses,14.09,77.7,6.55,1.42,62,3.22,0.23,0.11,DAP,7.353498753,8.007066096,74.09359831,3.189596802,0.378367049
RedSoil,Pulses,14.08,77.69,5.35,7.03,41,12.81,0.26,0.1,14-35-14,7.306666436,7.935134293,54.75964135,5.181111728,0.412783432
RedSoil,Groundnut,14.08,77.69,8.42,1.56,87,2.01,0.08,0.16,28-28,7.460142588,6.261187461,104.9062181,-1.480305906,0.355683983
RedSoil,Groundnut,14.08,77.69,8.75,6,70,4.25,0.19,0.17,Urea,7.387551961,7.865974846,136.0516228,13.03382135,0.356902053
RedSoil,Groundnut,14.09,77.69,8.8,3.84,61,2.61,0.2,0.24,17-17-17,7.364074017,7.743163237,135.2895271,11.71694883,0.343823431
RedSoil,Groundnut,14.09,77.69,8.08,2.14,52,1.73,0.11,0.14,20-20,7.379272751,5.669976499,100.599655,-1.322538856,0.346885713
RedSoil,Groundnut,14.09,77.69,7.91,2.49,26,1.73,0.18,0.12,Urea,7.30101751,6.131120988,106.0526273,3.3671314,0.338624011
RedSoil,Groundnut,14.09,77.69,6.07,1.58,43,2.32,0.34,0.05,28-28,7.273491617,9.361331033,76.17714817,10.41508471,0.378289864
RedSoil,Groundnut,14.08,77.69,8.38,1.87,95,3.01,0.25,0.18,14-35-14,7.41170406,9.67375715,127.5516363,14.40465627,0.361708883
RedSoil,Groundnut,14.09,77.69,8,5.33,68,3.04,0.19,0.2,DAP,7.382785412,7.665795438,114.4218381,9.298225773,0.367205182
RedSoil,Groundnut,14.08,77.6,8.43,2.04,37,2.12,0.36,0.19,17-17-17,7.254103821,9.892797938,144.1420902,21.86334983,0.332928351
RedSoil,Groundnut,14.08,77.69,8.3,1.27,55,2.72,0.2,0.16,Urea,7.350762881,7.484036908,117.5819771,7.050152486,0.341732015
RedSoil,Groundnut,14.08,77.69,8.5,1.58,56,3.81,0.08,0.2,28-28,7.399093552,5.34631798,107.2291892,-2.659472463,0.339937135
RedSoil,Groundnut,14.1,77.7,6.55,2.46,35,3.11,0.27,0.09,DAP,7.285042557,7.904562225,81.18079709,6.436054261,0.368707154
RedSoil,Millets,14.06,77.55,8.65,6.62,94,6.34,0.29,0.16,17-17-17,7.398210601,10.49502104,148.0572466,23.41712532,0.373230799
RedSoil,Cotton,14.06,77.55,8.7,17.71,188,24.67,0.21,0.24,Urea,7.628217655,12.3415362,157.0199378,31.16692102,0.461563913
RedSoil,Groundnut,14.06,77.54,6.52,8.95,102,3.21,0.22,0.06,28-28,7.441035854,9.062890137,83.75592824,11.03257727,0.423280946
RedSoil,,14.06,77.54,8.05,23.79,282,68.49,0.54,1.45,Urea,7.70784734,22.22231284,196.3747683,68.56778629,0.555948364
RedSoil,Groundnut,14.06,77.55,8.37,15.45,178,5.37,0.42,0.16,DAP,7.520254331,15.45563827,171.9746102,46.25952674,0.448047645
RedSoil,,14.06,77.55,8.76,13.78,176,2.98,0.35,0.11,20-20,7.541242734,14.10409687,170.321343,39.87298451,0.433374292
RedSoil,,14.06,77.54,5.53,14.71,59,4.99,0.17,0.07,17-17-17,7.378333013,6.688302975,59.03268838,5.696678053,0.440678849
RedSoil,Groundnut,14.55,77.55,8.73,25.12,207,15.07,0.75,0.36,DAP,7.460695479,22.73124894,242.615955,87.83719014,0.49116347
RedSoil,Groundnut,14.53,77.54,8.61,3.47,125,6.12,0.52,0.2,Urea,7.370319218,15.70874481,173.3740651,42.68074617,0.378442084
BlackSoil,Sunflower,14.54,77.55,8.32,2.34,116,4.48,0.14,0.14,20-20,7.496234042,8.313397745,111.7283194,5.678534434,0.375108296
RedSoil,Groundnut,14.53,77.54,5.95,11.11,63,2.8,0.17,0.05,28-28,7.383557641,6.828599856,64.72484865,4.283643546,0.422021043
BlackSoil,Cotton,14.54,77.54,8.15,4.27,140,4.65,0.46,0.11,14-35-14,7.422992423,14.96465068,153.7849829,36.87133364,0.396360439
BlackSoil,Vegetables,14.54,77.53,7,1.31,90,2.71,0.19,0.04,Urea,7.424240328,8.19458531,80.73705586,2.658988558,0.382990931
BlackSoil,,14.54,77.53,6.23,2.92,74,2.91,0.19,0.04,DAP,7.393356487,7.58566528,62.22938996,0.247632086,0.394991593
RedSoil,Groundnut,14.53,77.54,7.43,2.59,85,4.39,0.1,0.1,20-20,7.449920736,6.472517429,82.32592345,-2.815776752,0.377455785
RedSoil,Groundnut,14.53,77.53,8.68,10.64,29,23.5,0.32,0.62,28-28,7.265577509,9.398755982,160.2891521,26.75057653,0.361053132
BlackSoil,Cotton,14.54,77.53,6.65,1.38,140,3.11,0.44,0.06,DAP,7.428504922,14.33738377,105.4090257,26.3663704,0.414091282
BlackSoil,Groundnut,14.54,77.54,8.21,6.15,28,2.28,0.21,0.08,Urea,7.295748087,6.805500773,124.1381733,10.74373719,0.346368423
RedSoil,Groundnut,14.53,77.53,7,1.71,131,6.88,0.57,0.13,14-35-14,7.362474952,16.59745207,133.4519518,39.39172698,0.405746576
RedSoil,Groundnut,14.53,77.54,6.27,21.06,126,2.84,0.31,0.09,28-28,7.460964189,11.43162019,108.2316354,30.44617619,0.4796094
BlackSoil,Vegetables,14.54,77.54,8.05,3.08,130,3.33,0.33,0.13,Urea,7.451593164,12.20273348,131.366035,23.13323066,0.388929663
RedSoil,Groundnut,14.53,77.54,7.43,1.95,66,8.03,0.21,0.11,14-35-14,7.371047582,7.995785252,96.53726289,5.610638841,0.367512784
RedSoil,Groundnut,14.54,77.54,7.72,12.31,96,4.1,0.36,0.07,DAP,7.377824237,11.66667378,141.0033072,31.3143853,0.409540966
RedSoil,Groundnut,14.53,77.54,8.25,6.87,129,3.34,0.38,0.08,17-17-17,7.432606419,13.1275283,149.6194055,31.88710614,0.397309235
RedSoil,Groundnut,14.54,77.53,6.85,2.25,85,3.64,0.15,0.07,DAP,7.430393827,7.295731604,72.71150089,-0.944943164,0.386833958
RedSoil,Groundnut,14.53,77.54,8.75,5.47,95,3.09,0.32,0.16,20-20,7.38699491,11.02691808,152.8866808,25.52668763,0.366805492
RedSoil,Groundnut,14.53,77.54,8.8,7.05,107,10.11,0.28,0.24,14-35-14,7.429436281,10.81793042,151.6889225,24.14944241,0.379589106
BlackSoil,Vegetables,14.53,77.53,8.35,2.49,76,1.42,0.19,0.07,28-28,7.396583825,7.932436104,119.4289159,8.49626569,0.354524904
RedSoil,Groundnut,14.53,77.53,8.28,1.66,69,1.47,0.14,0.07,Urea,7.4012975,6.779194075,109.3904805,2.589130681,0.349702378
RedSoil,,14.47,77.57,8.6,9.59,98,5.81,0.46,0.16,DAP,7.342742631,13.74871948,174.5258038,41.50549171,0.385755518
RedSoil,,14.47,77.58,8.49,12.82,130,4.39,0.29,0.15,14-35-14,7.472570315,11.55044414,153.3246678,30.22417329,0.413476974
RedSoil,,14.46,77.58,8.51,6.76,70,5.4,0.16,0.12,20-20,7.39981579,7.29929046,126.6592536,10.05127876,0.364325856
RedSoil,,14.48,77.58,8.54,4.36,75,1.67,0.3,0.07,28-28,7.353729964,9.97192889,142.5878175,20.87331472,0.356808027
RedSoil,,14.47,77.58,6.84,4.83,95,4.07,0.32,0.05,Urea,7.386983219,10.76284053,99.71567191,17.24111555,0.400588175
RedSoil,,14.47,77.58,8.52,7.97,100,8.28,0.31,0.18,14-35-14,7.403930289,11.07442006,149.467982,26.23377722,0.383770434
RedSoil,,14.47,77.58,7.74,12.96,123,3.17,0.33,0.09,28-28,7.443031508,11.93503498,138.4259991,30.60275562,0.424044647
RedSoil,,14.46,77.58,8.47,10.95,210,5.29,0.41,0.18,20-20,7.585246487,16.28022736,166.2595854,43.19995178,0.446710024
RedSoil,,14.46,77.59,8.05,7.09,80,2.96,0.28,0.11,Urea,7.373256371,9.711816168,130.8322204,19.83930414,0.377896041
RedSoil,,14.46,77.58,8.65,13.4,106,2.84,0.29,0.13,DAP,7.42459647,10.79367357,158.5219721,30.22432584,0.400219932
RedSoil,,14.48,77.58,7.35,7.27,154,2.44,0.38,0.06,17-17-17,7.482259019,13.75244811,125.5899653,29.85218926,0.427142958
RedSoil,,14.46,77.58,6.02,5.25,78,2.1,0.18,0.03,28-28,7.406129863,7.476345258,58.74255124,0.830374329,0.408262561
RedSoil,,14.46,77.59,8.65,15.31,69,6.56,0.37,0.17,Urea,7.322782464,11.20257426,172.6570775,37.39483971,0.390058305
RedSoil,,14.46,77.58,6.6,3.34,130,3.54,0.42,0.05,20-20,7.417463816,13.65737101,104.4220555,25.66411228,0.416849767
RedSoil,,14.48,77.58,8.23,7.44,119,5.34,0.49,0.11,17-17-17,7.371737271,14.89292276,165.0927249,41.78403814,0.39549035
RedSoil,,14.47,77.58,8.16,9.33,149,9.51,0.74,0.21,DAP,7.33851104,20.53551426,200.5019629,67.3087417,0.419169395
RedSoil,,14.48,77.58,6.86,5.02,81,4.27,0.3,0.05,Urea,7.366931823,9.963775003,97.84437485,15.00137948,0.394145265
RedSoil,,14.45,77.58,8.16,13.84,144,6.46,0.67,0.16,20-20,7.356693091,19.01818026,197.8709885,64.87164113,0.430564201
BlackSoil,,14.46,77.58,6.16,14.78,105,4.21,0.19,0.09,28-28,7.461999624,8.568504313,79.05095054,12.36381199,0.451162672
RedSoil,,14.47,77.58,8.63,13.72,258,9.33,0.35,0.2,10-26-26,7.706573276,16.77452839,167.0403972,43.31451402,0.47769545
RedSoil,,14.47,77.58,7.9,6.54,93,1.95,0.21,0.05,Urea,7.425184547,8.776399453,116.2570457,13.03897525,0.384771589
RedSoil,,14.45,77.57,7.79,9.86,125,2.91,0.3,0.08,DAP,7.456667936,11.44368519,130.8075916,25.34665158,0.413693607
RedSoil,,14.45,77.57,8.4,20.36,137,30.49,0.4,1.03,20-20,7.457703264,14.35161301,179.2462195,47.06558952,0.453458679
RedSoil,,14.46,77.58,8.57,11.21,117,4.47,0.27,0.18,14-35-14,7.453479258,10.78890336,150.2548061,26.62429119,0.400381279
RedSoil,,14.48,77.58,8.33,27.61,166,61.29,0.74,0.98,10-26-26,7.400310995,22.20068642,236.9097971,85.59446729,0.504536538
RedSoil,,14.47,77.58,8.82,26.25,188,48.5,0.58,0.5,20-20,7.499966009,19.72190024,225.5971908,72.93523167,0.496709264
RedSoil,,14.47,77.58,8.58,89.47,259,61.35,0.66,0.82,28-28,7.649861645,23.65412702,330.1623596,140.669191,0.750272857
RedSoil,,14.47,77.57,8.3,31.38,194,4.59,0.64,0.12,Urea,7.476609574,20.00056751,225.094287,81.26343952,0.50967957
RedSoil,,14.47,77.58,8.61,17.88,144,6.35,0.74,0.21,28-28,7.332159591,20.37920786,226.0745696,76.71970633,0.435560985
RedSoil,,14.46,77.58,8.62,13.27,110,32.68,0.45,0.4,Urea,7.381765975,14.51644264,181.0544313,44.6457945,0.41358961
RedSoil,,14.48,77.58,7.9,39.84,272,118.07,0.91,2.32,DAP,7.572741354,29.80314052,270.8772814,115.6459168,0.625962571
RedSoil,,14.47,77.58,8,19.96,100,16.29,0.35,0.34,14-35-14,7.39802164,11.90926694,160.0366174,38.75181677,0.436280989
RedSoil,,14.47,77.58,8.79,8.03,97,19.33,0.21,0.27,28-28,7.439983375,9.406512424,143.9411591,18.18905376,0.381680898
RedSoil,,14.47,77.58,8.7,8.2,82,25.96,0.25,0.39,20-20,7.397262565,9.808815662,147.5892012,20.86313433,0.379170466
RedSoil,,14.46,77.58,8.38,10.02,130,2.29,0.3,0.09,10-26-26,7.466489909,11.67416642,147.1544592,28.11664824,0.405433228
RedSoil,,14.46,77.59,8.26,11.43,133,4.65,0.4,0.14,DAP,7.435889946,13.65202983,159.8718644,38.11429929,0.414692847
RedSoil,,14.46,77.58,8.48,11.66,188,19.22,0.58,0.41,14-35-14,7.481813641,19.04326551,191.6502115,58.18240679,0.443509008
RedSoil,,14.48,77.58,8.42,17.06,120,24.4,0.38,0.39,Urea,7.427587705,13.32423689,171.5195967,41.47762329,0.43159509
RedSoil,,14.46,77.58,7.8,8.16,71,1.99,0.16,0.05,DAP,7.401392425,7.151331192,109.2525565,8.522671068,0.381374818
RedSoil,,14.46,77.59,8.49,8.74,86,5.83,0.28,0.13,20-20,7.387095114,10.02589032,145.624412,23.42040869,0.379178979
